3,102,27
3,117,25
4,110,51
6,103,19
8,101,84
11,112,12
13,109,81
13,117,11
20,113,43
28,104,65
28,104,94
28,114,75
29,103,48
29,109,10
29,116,77
33,101,93
33,104,31
33,118,54
34,102,27
34,102,77
35,100,97
35,104,27
35,114,81
37,113,20
37,119,46
45,106,85
45,111,77
46,105,47
48,102,70
49,112,76
54,119,8
58,100,92
58,117,15
59,112,34
59,116,32
63,102,96
64,119,25
68,108,98
70,100,87
72,110,27
73,106,90
74,112,46
75,113,4
80,105,87
81,103,3
81,105,68
81,117,28
82,110,14
82,114,18
83,115,50
87,110,98
91,117,53
92,103,87
92,108,64
93,107,20
94,108,31
95,117,68
97,105,64
97,110,13
99,101,29
