1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,10
12,10
13,10
14,10
15,0
15,10
16,10
17,10
18,10
19,10
20,10
21,20
22,0
22,20
23,20
24,20
25,20
26,20
27,20
28,20
29,0
29,20
30,20
31,30
32,30
33,30
34,30
35,30
36,0
36,30
37,30
38,30
39,30
40,30
41,40
42,40
43,0
43,40
44,40
45,40
46,40
47,40
48,40
49,40
50,0
50,40
51,50
52,50
53,50
54,50
55,50
56,50
57,0
57,50
58,50
59,50
60,50
61,60
62,60
63,60
64,0
64,60
65,60
66,60
67,60
68,60
69,60
70,60
71,0
71,70
72,70
73,70
74,70
75,70
76,70
77,70
78,0
78,70
79,70
80,70
81,80
82,80
83,80
84,80
85,0
85,80
86,80
87,80
88,80
89,80
90,80
91,90
92,0
92,90
93,90
94,90
95,90
96,90
97,90
98,90
99,0
99,90
