1000,4
1004,4
1008,4
1012,4
1016,4
1020,4
1024,4
1028,4
1032,4
1036,4
1040,4
1044,4
1100,4
1104,4
1108,4
1112,4
1116,4
1120,4
1124,4
1128,4
1200,4
1204,4
1208,4
1212,4
1216,4
1220,4
1224,4
1228,4
1232,4
1236,4
1240,4
1244,4
1248,4
1252,4
1256,4
1300,4
1304,4
1308,4
1312,4
1316,4
1320,4
1400,4
1404,4
1408,4
1412,4
1416,4
1420,4
1424,4
1428,4
1432,4
1436,4
1500,4
1504,4
1508,4
1512,4
1516,4
1520,4
1524,4
1528,4
1532,4
1600,4
1604,4
1608,4
1612,4
1616,4
1620,4
1624,4
1628,4
1632,4
1636,4
1640,4
1644,4
1648,4
1652,4
1700,4
1704,4
1708,4
1712,4
1716,4
1720,4
1724,4
1800,4
1804,4
1808,4
1812,4
1816,4
1820,4
1824,4
1828,4
1832,4
1836,4
1840,4
1900,4
1904,4
1908,4
1912,4
1916,4
1920,4
1924,4
1928,4
2000,4
2004,4
2008,4
2012,4
2016,4
2020,4
2024,4
2028,4
2032,4
2036,4
2040,4
2044,4
2048,4
2100,4
2104,4
2108,4
2112,4
2116,4
2120,4
2200,4
2204,4
2208,4
2212,4
2216,4
2220,4
2224,4
2228,4
2232,4
2236,4
2300,4
2304,4
2308,4
2312,4
2316,4
2320,4
2324,4
2328,4
2332,4
2400,4
2404,4
2408,4
2412,4
2416,4
2420,4
2424,4
2428,4
2432,4
2436,4
2440,4
2444,4
1048,4
1052,4
1132,4
1136,4
1260,4
1264,4
1324,4
1328,4
1440,4
1444,4
1536,4
1540,4
1656,4
1660,4
1728,4
1732,4
1844,4
1848,4
1932,4
1936,4
2052,4
2056,4
2124,4
2128,4
2240,4
2244,4
2336,4
2340,4
